title,views,likes,comments,engagement_rate,published_at,url
I'm 51 Now. Here's My Biggest Muscle Building Mistakes I've Made!,554247,15061,768,2.86,2026-06-28T17:21:46Z,https://www.youtube.com/watch?v=IPdDT5-Rpt0
12 Exercises That Completely Change The Human Body,332374,13800,376,4.27,2026-07-06T16:46:29Z,https://www.youtube.com/watch?v=kwG8eYWmrmg
Conor McGregor's Knee Injury Revealed (HERE'S WHAT HAPPENED),276725,8101,1155,3.34,2026-07-12T05:44:46Z,https://www.youtube.com/watch?v=A970tiZ2Yx0
Incline Bench Press Mistake (STOP DOING THIS!),247323,7310,87,2.99,2026-07-10T19:07:55Z,https://www.youtube.com/watch?v=Bc_BTtk8J88
How to Fix Muscle Cramps in Seconds,232806,6141,203,2.73,2026-07-02T19:01:31Z,https://www.youtube.com/watch?v=VmJLU6l02aE
"How to Get ""Bigger Arms"" Fast (22 DAYS | NO B.S)",205652,8549,387,4.35,2026-07-19T18:33:28Z,https://www.youtube.com/watch?v=CTblai7olJo
7 Moves That Fix Your Entire Body (GUARANTEED),173135,9955,272,5.91,2026-07-16T16:13:17Z,https://www.youtube.com/watch?v=xlqoV7nsPWE
Stop Doing Lunges Like This! (SAVE A FRIEND),167235,8226,372,5.14,2026-07-27T17:50:38Z,https://www.youtube.com/watch?v=Pwsn3HR4L90
The ONLY 2 Ab Exercises You Need,160577,8423,102,5.31,2026-07-24T15:43:43Z,https://www.youtube.com/watch?v=ZVUjuyavXYE
20 Second Form Fix: DB Bench Press,139490,2404,44,1.75,2026-06-24T19:32:41Z,https://www.youtube.com/watch?v=q--6_PuEV_c
