title,views,likes,comments,engagement_rate,published_at,url
Stop Overthinking with a Bedtime Story 😴 Dreamy Day at the Wildlife Preserve | Sleepy Story,57324,1047,34,1.89,2026-06-29T21:00:15Z,https://www.youtube.com/watch?v=4LSodNAOois
A DREAMY Story for Sleep: Lizzy’s Dreamy Summer in 1970s Athens | FALL ASLEEP NOW,51376,1136,45,2.3,2026-06-10T21:00:01Z,https://www.youtube.com/watch?v=nj8-EmFHL5E
😴 Listen to this before bed: The Farmer’s Market by the Mountain Cabin,41670,1206,173,3.31,2026-07-20T21:15:58Z,https://www.youtube.com/watch?v=CHyU_ubHRT8
Bedtime Story: Seasons of the Wind | STOP Overthinking and Fall Asleep with a Bedtime Story,39515,923,38,2.43,2026-06-06T21:00:31Z,https://www.youtube.com/watch?v=cnP7WinG4qk
"If anxiety keeps you awake, listen to this: A Dream of the Winter Cabin",38534,3207,950,10.79,2026-07-18T21:00:29Z,https://www.youtube.com/watch?v=W1r8xJRf5ag
🌊 A RELAXING Story with OCEAN WAVES 🌊 A Relaxing Visit to the Place of Refuge,34787,822,41,2.48,2026-06-08T21:00:37Z,https://www.youtube.com/watch?v=IdKZhgcoupA
This Story is for Anxious Nights: A Relaxing Bus Ride through Lagos | Stop Overthinking and Sleep,34690,770,23,2.29,2026-07-06T21:00:10Z,https://www.youtube.com/watch?v=DM8NuEpbh4w
✨The Coziest RAINY Story ✨ Halle and the Tower of Books | RAIN and Storytelling,34279,833,62,2.61,2026-06-28T21:00:13Z,https://www.youtube.com/watch?v=lEXIS1sb6g4
Stop Overthinking Before Bedtime: The Cosy Treehouse in the Forest | Fall Asleep Fast,29469,930,59,3.36,2026-07-29T22:30:26Z,https://www.youtube.com/watch?v=wpx2WAFI0Wg
✨ Magical Story for Sleep ✨ A Peaceful Summer’s Evening at the Witch’s Cottage,28937,796,57,2.95,2026-06-17T21:00:05Z,https://www.youtube.com/watch?v=jZL8ptX3k_c
The Perfect Story for Overthinkers: A Secret Chapel in the Peacock House | Bedtime Story,27491,786,45,3.02,2026-07-13T21:00:22Z,https://www.youtube.com/watch?v=eg-WJAwjaLY
Greek Myth and Ocean Waves for Sleep: The Odyssey: - The Return to Ithaca,27280,620,47,2.45,2026-07-01T23:15:34Z,https://www.youtube.com/watch?v=8RIIyCZrdl8
The MOST RELAXING Story for Sleep | A Relaxing Visit to Volcanoes National Park 💤,25894,597,36,2.44,2026-06-15T21:00:10Z,https://www.youtube.com/watch?v=BpFVdKgTkww
Relaxing Fairytale with Rain Sounds | Queen Seraphina and the White Doe | Cozy Bedtime Story,24848,635,39,2.71,2026-07-04T21:00:22Z,https://www.youtube.com/watch?v=F38SHE6KTIo
Let a Peacock Carry Your Thoughts Away: The Peacock House (parts 1-3),23930,682,57,3.09,2026-07-11T21:02:31Z,https://www.youtube.com/watch?v=WHj7LGQVcq4
Too Much on Your Mind? Let's Visit Benin City Instead | A Relaxing Journey through Benin City,22879,535,34,2.49,2026-07-09T00:22:53Z,https://www.youtube.com/watch?v=zj6M7tHUEe4
💤 Bedtime Story: A Stone's Journey | A Relaxing Sleepy Story,22442,613,33,2.88,2026-06-13T21:00:19Z,https://www.youtube.com/watch?v=LE4aDp3utIE
No More Insomnia and Anxious Nights: A Quiet Morning at the Historic Manor House,21778,658,78,3.38,2026-07-22T21:00:21Z,https://www.youtube.com/watch?v=mHAru5iBojQ
RAINY Norse Mythology for Sleep | RAINY STORY | Freyja and the Prayers of Óttar,21310,582,40,2.92,2026-06-22T21:00:22Z,https://www.youtube.com/watch?v=MnTp8PA-NeY
RAINY story to stop overthinking and fall asleep | Across the Pond,20324,520,37,2.74,2026-06-20T16:41:45Z,https://www.youtube.com/watch?v=9Y0cExhNzjo
Fall Asleep to a Story You’ll Never Finish 😴 The Odyssey: Part 6 - The Sun God’s Cattle  😴,19279,441,33,2.46,2026-06-03T20:54:32Z,https://www.youtube.com/watch?v=FrWcm4y9oCk
For the Nights Your Mind Won't Slow Down: A Peaceful Summer’s Evening on London’s Canals,17042,509,39,3.22,2026-07-25T21:00:18Z,https://www.youtube.com/watch?v=DvtTX08N0xo
Calm Story for Sleep: Ada and the Robot | FALL ASLEEP NOW,16886,466,24,2.9,2026-06-24T21:00:10Z,https://www.youtube.com/watch?v=86SgWXevjCo
Calm Down Anxiety Before Bed: A Lazy Morning on the Nile River,16522,433,36,2.84,2026-07-15T21:00:25Z,https://www.youtube.com/watch?v=VVIrv5WC7RA
Norse Mythology and RAIN for Sleep 💤 Þrymr and the Hammer of Thor 💤 BEDTIME STORY,11988,414,39,3.78,2026-07-27T22:29:03Z,https://www.youtube.com/watch?v=tAy9R8_qQtU
