title,views,likes,comments,engagement_rate,published_at,url
Testing Food Hacks,27152488,692950,1743,2.56,2026-07-08T15:00:07Z,https://www.youtube.com/watch?v=lYhtV4zNyUg
I Tried Every Viral Restaurant in America,4343241,76399,2379,1.81,2026-06-14T14:30:24Z,https://www.youtube.com/watch?v=yVMQ-jlwTZI
I Tried Celebrities Favorite Foods,2806620,58088,1632,2.13,2026-06-28T14:30:18Z,https://www.youtube.com/watch?v=Gwue7WXY6uM
3 Levels of Buffets,2433823,76942,476,3.18,2026-07-21T15:00:02Z,https://www.youtube.com/watch?v=U5QjOMv_990
I Tried The Weirdest Restaurants in America,1696262,40232,3766,2.59,2026-07-26T14:30:26Z,https://www.youtube.com/watch?v=QmsKUxPXEWQ
Oil hack,1603654,31115,382,1.96,2026-06-19T16:05:32Z,https://www.youtube.com/watch?v=6Mz9Poqd8jM
I Cook For a Baby,1600137,72618,592,4.58,2026-07-28T15:00:06Z,https://www.youtube.com/watch?v=2g8zkWt836I
Dishwasher Lasagna from @zackdfilms,1565035,50116,519,3.24,2026-07-01T16:35:26Z,https://www.youtube.com/watch?v=IMXK_hv_-j4
I Tested America's Worst 1-Star Fast Food,1295240,30006,1237,2.41,2026-07-12T14:30:02Z,https://www.youtube.com/watch?v=RffdDZjReSc
370 Calorie Butter Chicken (61g protein),663284,21973,257,3.35,2026-06-09T16:16:02Z,https://www.youtube.com/watch?v=SAziuwJrCro
