title,channel,views,views_per_day,age_days,likes,comments,url
Bake the Perfect Sourdough Bread: A Step-by-Step Guide,Natashas Kitchen,3076890,3510.8,876.4,48998,3068,https://www.youtube.com/watch?v=4gEoh3sk2AE
Easy Sourdough Starter Guide: Just Flour &amp; Water!,Natashas Kitchen,2856748,3233.8,883.4,63296,4123,https://www.youtube.com/watch?v=-9Osn7JsP1Y
YOUR FIRST SOURDOUGH (Sourdough Bread For Complete Beginners),Brian Lagerstrom ,4543695,2290.9,1983.4,86860,3186,https://www.youtube.com/watch?v=VEtU4Co08yY
The BEST Beginner Sourdough Bread Tutorial on YouTube,Grant Bakes,854450,1739.1,491.3,14409,713,https://www.youtube.com/watch?v=CTuGXdyrWUo
No Knead Beginner Sourdough Bread,Joshua Weissman,3154735,1070.3,2947.4,59370,3117,https://www.youtube.com/watch?v=eod5cUxAHRM
"PERFECT Sourdough Beginners Guide: Just Flour, Water &amp; Salt!",Keep it Sweet Kitchen,335097,920.7,363.9,11226,716,https://www.youtube.com/watch?v=XIyMvbaxR6c
Easiest Sourdough Starter! No Measuring! No Discards!,Survival HT,939093,863.9,1087.1,44912,2763,https://www.youtube.com/watch?v=K49J40z01F0
Best Beginner Sourdough Recipe - Same-Day Sourdough - Sourdough Bread for Beginners - Unloaf Recipe!,Robyn On The Farm,270545,468.0,578.0,10632,1458,https://www.youtube.com/watch?v=2OnzfQrTTM8
Beginner Sourdough Bread | Easy Step-By-Step Tutorial,Amy Bakes Bread,76781,357.7,214.6,1618,95,https://www.youtube.com/watch?v=quPgQr9HVbE
Easy Sourdough for Beginners Master Recipe,The Sourdough Lady,212792,230.8,922.0,3025,137,https://www.youtube.com/watch?v=Fi3zmrDjF6E
