title,channel,views,views_per_day,age_days,likes,comments,url
10+ Rookie HOME GYM MISTAKES You Need to Avoid!,Garage Gym Reviews,1178505,1283.1,918.5,17741,785,https://www.youtube.com/watch?v=5NvxSXp2T0g
HOME GYM | Before and after (step by step),IRONSTAR FIT,1458750,1010.4,1443.7,15410,102,https://www.youtube.com/watch?v=OHePj1Afy3Y
10 Things I Wish I Knew Before Starting My Home Gym…,Garage Gym Reviews,972340,732.5,1327.5,14290,471,https://www.youtube.com/watch?v=vN0NWr8m_JY
The $100 Budget Home Gym Guide (w/ 4 Different Setup Options!),Garage Gym Reviews,212865,424.5,501.4,4685,233,https://www.youtube.com/watch?v=HG6hQOyXIMc
Home gym idea for an organized space #homegym #amazonhomefinds,Brooke’s Buys,199748,347.7,574.5,4630,30,https://www.youtube.com/watch?v=XNTPoTzeKG8
Rep Fitness: The Minimalist Home Gym Package,REP,53126,208.0,255.4,53,1,https://www.youtube.com/watch?v=DB5EVIsKpw0
Small Home Gym Set Up - Wonder Woman Inspired,Loida Velasquez,285921,207.6,1377.5,2022,21,https://www.youtube.com/watch?v=EuYswHEdUG4
Every HOME needs a GYM ROOM like THIS! 💥  #prxperformance  #homefitness #shortsfeed,PRx Performance,125639,122.0,1030.2,1382,24,https://www.youtube.com/watch?v=kYfRjG_zhmk
"At Home Gym Tour  |  Small Space, Realistic + Beginner Equipment",Emily Norris,44325,94.0,471.4,1090,80,https://www.youtube.com/watch?v=UNPPz8a72fE
I built a GIANT small home gym in my 13x8 storage unit,Paul Clingan,92788,68.8,1349.3,932,97,https://www.youtube.com/watch?v=0jf7r6f_XMU
How to Build a Home Gym (On a Budget) in 2026,Adam C Korson,30239,63.6,475.2,462,48,https://www.youtube.com/watch?v=sjDwDl1xNLQ
Best Minimalist Home Gym Setup (2024),GamerBody,37272,57.9,643.4,597,10,https://www.youtube.com/watch?v=H-2KAoBVUYM
Best Compact Gym Equipment: Maximize Your Space!,Garage Gym Reviews Everything,47022,49.2,955.4,515,46,https://www.youtube.com/watch?v=PlisL-TlKBo
Small Home Gym Setup Ideas For A Condo Or Apartment (BASIC EQUIPMENT!),Ivana Chapman,36798,18.7,1970.3,565,24,https://www.youtube.com/watch?v=4e57R_5R550
"The Ultimate Compact Apartment Gym Tour (Small Space, Maximum Power)",Compact Power Lab,1054,4.5,233.3,29,8,https://www.youtube.com/watch?v=dzcmgrXZjTA
