title,channel,views,views_per_day,age_days,likes,comments,url
The SLEEPY Silly Crocodile | Animated Bedtime Story For Kids,Koala Moon - Kids Bedtime Stories,4017337,11335.6,354.4,4771,0,https://www.youtube.com/watch?v=f5IgT5BsL9o
Stop Overthinking Before Bedtime: The Cosy Treehouse in the Forest | Fall Asleep Fast,Get Sleepy,29469,9293.7,3.2,930,59,https://www.youtube.com/watch?v=wpx2WAFI0Wg
7 HOURS of the Strangest Stories to Sleep To ► NO ADS,Nick at Midnight,44210,2315.5,19.1,1957,270,https://www.youtube.com/watch?v=zn_ob0QUI_A
A Soothing Bedtime Story: Aboard the Rainy Night Train of Ages,Stephen Dalton Sleep Stories,37662,1956.0,19.3,1382,75,https://www.youtube.com/watch?v=T-mkes_WFs8
A Healing Sleep Story: A Night in the Treehouse of Dreams,Stephen Dalton Sleep Stories,49060,1621.6,30.3,1534,70,https://www.youtube.com/watch?v=ncAN2BZ6gvM
The BEST Sleepy Stories EVER | Best Sleepy Stories by Alexandra Turney | 7H Bedtime Stories,Get Sleepy,568238,1590.7,357.2,5601,381,https://www.youtube.com/watch?v=xu84bbTu7ak
"Fall Asleep to the ENTIRE Story of Ancient Egypt — Pyramids, Pharaohs and Gods | Ancient History",Bedtime & Historian ,164523,1565.4,105.1,2099,213,https://www.youtube.com/watch?v=2-WMhSzoZro
A Cozy Bedtime Story: Rain &amp; Storm on the Night Train to Scotland,Stephen Dalton Sleep Stories,193023,1505.5,128.2,3116,138,https://www.youtube.com/watch?v=XoCRmNtfj9Y
Meet me by the Firelight: A Cozy Sleep Story,Stephen Dalton Sleep Stories,55087,1244.8,44.3,1740,127,https://www.youtube.com/watch?v=q7ve3-aS-fc
The Tea Shop That Knew What People Needed | Victorian Sleep Story,Victorian Sleep Stories,117364,1095.8,107.1,2543,835,https://www.youtube.com/watch?v=zD80qC_QS_k
Black Flag: Assassin’s Creed Sleep Story | ASMR Pirate Ambience &amp; Bedtime Story,Good Knights Sleep,17638,1086.5,16.2,610,50,https://www.youtube.com/watch?v=lpJ0fOdPem0
The Village of Happiness: A Calming Sleep Story,Stephen Dalton Sleep Stories,115258,1074.6,107.3,2544,107,https://www.youtube.com/watch?v=VyJGstvoWRo
Sleep To The Strangest Stories I&#39;ve Ever Heard — NO ADS,Nick at Midnight,65040,1064.6,61.1,3406,399,https://www.youtube.com/watch?v=Elx2qiZcEus
Doing Very Little in a Cozy Cabin: A Rainy Bedtime Story,Stephen Dalton Sleep Stories,77157,1053.3,73.3,1995,87,https://www.youtube.com/watch?v=8L520RTV1RA
A Rainy Stay in Paradise Library: A Cozy Bedtime Story,Stephen Dalton Sleep Stories,52829,1030.7,51.3,1622,81,https://www.youtube.com/watch?v=G5lKzg705cA
🐱BEST Sleep Stories Compilation: The Adventures of Auggie the Cat 🐱 Sleepy Cat Stories,Get Sleepy,240112,952.1,252.2,3558,260,https://www.youtube.com/watch?v=k3PMma59NiQ
A Cozy Bedtime Story: The Medieval Queen&#39;s Winter Castle,Stephen Dalton Sleep Stories,21175,910.6,23.3,1092,94,https://www.youtube.com/watch?v=JscmZ_5JrLo
The Bed That Held a Lifetime: A Heartwarming Bedtime Story,Stephen Dalton Sleep Stories,57782,846.6,68.3,1764,97,https://www.youtube.com/watch?v=HH3GCBOqFxk
A Stormy Evening with Hope: A Soothing Bedtime Story,Stephen Dalton Sleep Stories,59475,689.5,86.3,1727,96,https://www.youtube.com/watch?v=7H3dk-1Vrlk
FALL ASLEEP with a Magical Story✨A Midnight Adventure in the Magic Library✨BEDTIME STORY,Get Sleepy,95709,575.9,166.2,1762,62,https://www.youtube.com/watch?v=nvmlK2plwSg
"Seaside Tavern: A Rogue, A Druid, and a Very Bad Idea",Dozing Dragon Sleep Stories,53772,559.6,96.1,1317,237,https://www.youtube.com/watch?v=h5ICn9PJNiU
A Meditative Sleep Story: The House on the Shore,Stephen Dalton Sleep Stories,73250,487.6,150.2,1696,65,https://www.youtube.com/watch?v=vULT7hIZ9y4
12 Hours of Immersive Sleep Stories,Stephen Dalton Sleep Stories,115346,434.9,265.2,1851,132,https://www.youtube.com/watch?v=FqFaNEdUtzk
A Cozy Sleep Story: The Snowy Cabin in the Storm,Stephen Dalton Sleep Stories,47026,411.6,114.3,1406,80,https://www.youtube.com/watch?v=FESNB9ZsoWo
Guided Sleep Story for Adults (The House by the Forgotten Lake),Inner Calm Universe - Topic,1419,7.3,194.7,11,0,https://www.youtube.com/watch?v=7jyDwv5ZW28
